country,Accessed_From,purchases
Hungary,Chrome,306
Iceland,Mozilla Firefox,348
Iceland,Microsoft Edge,204
Iceland,Others,363
Iceland,Chrome,357
Iceland,Safari,222
Iceland,IOS App,273
Iceland,Android App,525
Ireland,Safari,210
Ireland,IOS App,273
Ireland,Microsoft Edge,189
Ireland,Android App,471
Ireland,Chrome,357
Ireland,Mozilla Firefox,336
Ireland,Others,324
Israel,IOS App,273
Israel,Safari,219
Israel,Others,350
Israel,Chrome,358
Israel,Mozilla Firefox,336
Israel,Android App,506
Israel,Microsoft Edge,190
Italy,Microsoft Edge,198
Italy,Others,336
Italy,Android App,494
Italy,Chrome,360
Italy,IOS App,279
Italy,Safari,220
Italy,Mozilla Firefox,345
Jamaica,IOS App,153
Jamaica,Android App,276
Jamaica,Chrome,201
Jamaica,Mozilla Firefox,183
Jamaica,Safari,120
Jamaica,Microsoft Edge,99
Jamaica,Others,192
Japan,Chrome,360
Japan,Others,337
Japan,IOS App,288
Japan,Android App,483
Japan,Mozilla Firefox,357
Japan,Microsoft Edge,198
Japan,Safari,210
Kazakhstan,Mozilla Firefox,288
Kazakhstan,Microsoft Edge,162
Kazakhstan,Android App,414
Kazakhstan,IOS App,234
Kazakhstan,Others,288
Kazakhstan,Chrome,305
Kazakhstan,Safari,181
Kiribati,Android App,159
Kiribati,Others,117
Kiribati,IOS App,99
Kiribati,Microsoft Edge,72
Kiribati,Mozilla Firefox,123
Kiribati,Chrome,150
Kiribati,Safari,72
Kuwait,IOS App,231
Kuwait,Others,285
Kuwait,Safari,168
Kuwait,Chrome,306
Kuwait,Microsoft Edge,144
Kuwait,Android App,396
Kuwait,Mozilla Firefox,270
Kyrgyzstan,Android App,412
Kyrgyzstan,Others,289
Kyrgyzstan,Microsoft Edge,162
Kyrgyzstan,Chrome,305
Kyrgyzstan,Safari,181
Kyrgyzstan,Mozilla Firefox,288
Kyrgyzstan,IOS App,235
Latvia,Mozilla Firefox,238
Latvia,Microsoft Edge,135
Latvia,IOS App,177
Latvia,Others,223
Latvia,Android App,345
Latvia,Safari,150
Latvia,Chrome,243
Lithuania,Chrome,267
Lithuania,IOS App,195
Lithuania,Others,240
Lithuania,Safari,150
Lithuania,Microsoft Edge,135
Lithuania,Mozilla Firefox,240
Lithuania,Android App,345
Luxembourg,Chrome,357
Luxembourg,Microsoft Edge,192
Luxembourg,Mozilla Firefox,342
Luxembourg,IOS App,294
Luxembourg,Safari,210
Luxembourg,Others,354
Luxembourg,Android App,483
Macau,Android App,24
Macau,Others,9
Macau,Mozilla Firefox,12
Macau,Microsoft Edge,15
Macau,Safari,12
Maldives,Safari,78
Maldives,Android App,180
Maldives,Microsoft Edge,60
Maldives,Others,117
Maldives,Mozilla Firefox,99
Maldives,IOS App,81
Maldives,Chrome,105
Malta,Chrome,362
Malta,Others,338
Malta,Microsoft Edge,192
Malta,IOS App,288
Malta,Safari,210
Malta,Android App,481
Malta,Mozilla Firefox,361
Mauritius,Chrome,401
Mauritius,Others,354
Mauritius,IOS App,294
Mauritius,Safari,209
Mauritius,Android App,486
Mauritius,Mozilla Firefox,351
Mauritius,Microsoft Edge,197
Mexico,Chrome,357
Mexico,IOS App,273
Mexico,Microsoft Edge,198
Mexico,Mozilla Firefox,342
Mexico,Android App,503
Mexico,Others,337
Mexico,Safari,222
Mongolia,Safari,3
Mongolia,Android App,30
Mongolia,Others,27
Montenegro,Safari,75
Montenegro,Chrome,111
Montenegro,IOS App,96
Montenegro,Microsoft Edge,64
Montenegro,Others,96
Montenegro,Android App,155
Montenegro,Mozilla Firefox,123
Netherlands,Safari,210
Netherlands,Microsoft Edge,198
Netherlands,Android App,486
Netherlands,Others,354
Netherlands,IOS App,294
Netherlands,Chrome,399
Netherlands,Mozilla Firefox,351
New Zealand,IOS App,252
New Zealand,Others,318
New Zealand,Chrome,322
New Zealand,Safari,210
New Zealand,Android App,483
New Zealand,Mozilla Firefox,324
New Zealand,Microsoft Edge,179
Nicaragua,Safari,33
Nicaragua,Mozilla Firefox,66
Nicaragua,Microsoft Edge,45
Nicaragua,IOS App,60
Nicaragua,Chrome,87
Nicaragua,Others,66
Nicaragua,Android App,75
Norway,Mozilla Firefox,330
Norway,Microsoft Edge,180
Norway,IOS App,273
Norway,Chrome,359
Norway,Others,335
Norway,Android App,476
Norway,Safari,207
Oman,Others,30
Oman,IOS App,18
Oman,Safari,30
Oman,Android App,69
Oman,Microsoft Edge,18
Oman,Chrome,15
Oman,Mozilla Firefox,36
Panama,Microsoft Edge,153
Panama,Mozilla Firefox,259
Panama,Chrome,291
Panama,Safari,178
Panama,Others,288
Panama,Android App,412
Panama,IOS App,219
Paraguay,Safari,180
Paraguay,Others,288
Paraguay,Android App,417
Paraguay,Microsoft Edge,171
Paraguay,Mozilla Firefox,318
Paraguay,Chrome,321
Paraguay,IOS App,249
Philippines,Chrome,189
Philippines,IOS App,138
Philippines,Safari,102
Philippines,Microsoft Edge,99
Philippines,Android App,224
Philippines,Others,166
Philippines,Mozilla Firefox,161
Poland,Safari,168
Poland,Android App,396
Poland,Chrome,270
Poland,Others,267
Poland,Microsoft Edge,144
Poland,Mozilla Firefox,270
Poland,IOS App,213
Portugal,IOS App,251
Portugal,Mozilla Firefox,289
Portugal,Chrome,342
Portugal,Microsoft Edge,162
Portugal,Others,307
Portugal,Android App,414
Portugal,Safari,179
Puerto Rico,Safari,214
Puerto Rico,Chrome,357
Puerto Rico,IOS App,276
Puerto Rico,Mozilla Firefox,354
Puerto Rico,Others,336
Puerto Rico,Microsoft Edge,207
Puerto Rico,Android App,488
Qatar,Chrome,156
Qatar,IOS App,120
Qatar,Android App,267
Qatar,Safari,117
Qatar,Others,174
Qatar,Microsoft Edge,87
Qatar,Mozilla Firefox,147
Republic of Korea,Android App,483
Republic of Korea,Safari,209
Republic of Korea,IOS App,288
Republic of Korea,Microsoft Edge,192
Republic of Korea,Mozilla Firefox,360
Republic of Korea,Chrome,363
Republic of Korea,Others,337
Romania,Android App,422
Romania,Chrome,349
Romania,Others,306
Romania,Safari,183
Romania,IOS App,255
Romania,Microsoft Edge,180
Romania,Mozilla Firefox,309
Russia,Mozilla Firefox,1
Russia,Chrome,2
Russia,IOS App,1
Russia,Others,1
Russia,Android App,3
Russian Federation,Safari,189
Russian Federation,Android App,449
Russian Federation,Chrome,306
Russian Federation,Others,315
Russian Federation,Mozilla Firefox,289
Russian Federation,IOS App,234
Russian Federation,Microsoft Edge,162
Saint Kitts and Nevis,Others,21
Saint Kitts and Nevis,Chrome,51
Saint Kitts and Nevis,IOS App,39
Saint Kitts and Nevis,Microsoft Edge,18
Saint Kitts and Nevis,Safari,18
Saint Kitts and Nevis,Android App,27
Saint Kitts and Nevis,Mozilla Firefox,42
Saint Lucia,Safari,210
Saint Lucia,Android App,480
Saint Lucia,Chrome,306
Saint Lucia,IOS App,237
Saint Lucia,Others,318
Saint Lucia,Microsoft Edge,171
Saint Lucia,Mozilla Firefox,294
Saint Vincent and Grenadines,Android App,378
Saint Vincent and Grenadines,Mozilla Firefox,288
Saint Vincent and Grenadines,IOS App,231
Saint Vincent and Grenadines,Microsoft Edge,162
Saint Vincent and Grenadines,Chrome,306
Saint Vincent and Grenadines,Others,273
Saint Vincent and Grenadines,Safari,162
San Marino,Mozilla Firefox,30
San Marino,Others,33
San Marino,IOS App,36
San Marino,Microsoft Edge,9
San Marino,Safari,18
San Marino,Android App,39
San Marino,Chrome,51
Serbia,Android App,281
Serbia,Safari,123
Serbia,Others,192
Serbia,Mozilla Firefox,210
Serbia,Microsoft Edge,126
Serbia,Chrome,204
Serbia,IOS App,160
Seychelles,Android App,300
Seychelles,Safari,129
Seychelles,Chrome,204
Seychelles,IOS App,156
Seychelles,Microsoft Edge,108
Seychelles,Mozilla Firefox,192
Seychelles,Others,207
Singapore,Safari,219
Singapore,Chrome,356
Singapore,Mozilla Firefox,336
Singapore,Microsoft Edge,189
Singapore,IOS App,274
Singapore,Android App,507
Singapore,Others,351
Slovakia,Chrome,254
Slovakia,IOS App,198
Slovakia,Android App,358
Slovakia,Others,240
Slovakia,Microsoft Edge,135
Slovakia,Safari,159
Slovakia,Mozilla Firefox,240
Slovenia,Microsoft Edge,135
Slovenia,Safari,132
Slovenia,Android App,321
Slovenia,Others,238
Slovenia,IOS App,191
Slovenia,Chrome,254
Slovenia,Mozilla Firefox,240
South Africa,Android App,303
South Africa,Safari,138
South Africa,Others,214
South Africa,Mozilla Firefox,221
South Africa,Chrome,255
South Africa,Microsoft Edge,117
South Africa,IOS App,192
Spain,Safari,213
Spain,Chrome,357
Spain,Android App,490
Spain,Microsoft Edge,207
Spain,Mozilla Firefox,354
Spain,Others,336
Spain,IOS App,275
Sri Lanka,Android App,198
Sri Lanka,IOS App,96
Sri Lanka,Chrome,105
Sri Lanka,Safari,87
Sri Lanka,Microsoft Edge,63
Sri Lanka,Others,126
Sri Lanka,Mozilla Firefox,117
Suriname,IOS App,255
Suriname,Microsoft Edge,180
Suriname,Safari,183
Suriname,Mozilla Firefox,315
Suriname,Android App,423
Suriname,Others,306
Suriname,Chrome,354
Sweden,Others,336
Sweden,IOS App,273
Sweden,Chrome,357
Sweden,Android App,478
Sweden,Mozilla Firefox,324
Sweden,Safari,206
Sweden,Microsoft Edge,174
Switzerland,IOS App,174
Switzerland,Android App,344
Switzerland,Chrome,255
Switzerland,Others,222
Switzerland,Microsoft Edge,132
Switzerland,Safari,150
Switzerland,Mozilla Firefox,235
Thailand,Microsoft Edge,180
Thailand,Chrome,307
Thailand,Safari,192
Thailand,IOS App,255
Thailand,Mozilla Firefox,305
Thailand,Android App,444
Thailand,Others,321
Trinidad and Tobago,IOS App,237
Trinidad and Tobago,Microsoft Edge,162
Trinidad and Tobago,Others,303
Trinidad and Tobago,Mozilla Firefox,288
Trinidad and Tobago,Android App,450
Trinidad and Tobago,Safari,198
Trinidad and Tobago,Chrome,306
Turkey,Safari,33
Turkey,Chrome,102
Turkey,Mozilla Firefox,96
Turkey,Android App,78
Turkey,Microsoft Edge,54
Turkey,Others,66
Turkey,IOS App,75
Turkmenistan,Safari,207
Turkmenistan,Android App,479
Turkmenistan,IOS App,252
Turkmenistan,Chrome,345
Turkmenistan,Others,316
Turkmenistan,Mozilla Firefox,318
Turkmenistan,Microsoft Edge,171
Ukraine,Others,321
Ukraine,Android App,444
Ukraine,Chrome,319
Ukraine,IOS App,255
Ukraine,Safari,192
Ukraine,Microsoft Edge,180
Ukraine,Mozilla Firefox,305
United Arab Emirates,Mozilla Firefox,69
United Arab Emirates,Others,63
United Arab Emirates,Safari,48
United Arab Emirates,Android App,105
United Arab Emirates,Microsoft Edge,36
United Arab Emirates,IOS App,57
United Arab Emirates,Chrome,54
United Kingdom,Chrome,393
United Kingdom,IOS App,273
United Kingdom,Others,336
United Kingdom,Safari,210
United Kingdom,Mozilla Firefox,345
United Kingdom,Microsoft Edge,189
United Kingdom,Android App,486
United States,Mozilla Firefox,336
United States,Microsoft Edge,189
United States,Others,354
United States,Safari,210
United States,IOS App,290
United States,Android App,483
United States,Chrome,369
Uruguay,Safari,201
Uruguay,Microsoft Edge,180
Uruguay,Mozilla Firefox,306
Uruguay,IOS App,237
Uruguay,Chrome,306
Uruguay,Others,318
Uruguay,Android App,468
Uzbekistan,Chrome,255
Uzbekistan,Android App,357
Uzbekistan,Others,240
Uzbekistan,Microsoft Edge,135
Uzbekistan,IOS App,198
Uzbekistan,Mozilla Firefox,240
Uzbekistan,Safari,159
